Cultural_Group,Turn_Off_Shower,Washing_Half_Load,Hygiene_Method,Reuse_AC_Water,1.0,2.0,3.0,4.0,5.0
Italy_Center,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
Italy_Center,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
Italy_Center,4.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
Italy_Center,5.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Italy_Center,5.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0
Italy_Center,5.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy_Center,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Italy_Center,5.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Italy_Center,5.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy_North,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
Italy_North,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Italy_North,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy_North,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
Italy_North,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Italy_North,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy_North,2.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Italy_North,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy_North,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Italy_North,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Italy_North,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Italy_North,3.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0
Italy_North,3.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0
Italy_North,3.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0
Italy_North,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Italy_North,4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
